animal,resSaveIndex,band,binNumber,binStartUs,binEndUs,binMidMinutesFromRun1Start,validSecondsInBin,burstCount,burstRatePerMinute
ANM00190422,5,beta_13_30Hz,1,6298900000,6358900000,0.5,26.3820902388927,3,6.82281041305219
ANM00190422,5,beta_13_30Hz,2,6358900000,6418900000,1.5,40.5929779182963,1,1.47808815901029
ANM00190422,5,beta_13_30Hz,3,6418900000,6478900000,2.5,36.9292492784501,0,0
ANM00190422,5,beta_13_30Hz,4,6478900000,6538900000,3.5,33.3598003185999,2,3.59714383341478
ANM00190422,5,beta_13_30Hz,5,6538900000,6598900000,4.5,21.8911334390812,1,2.74083569802214
ANM00190422,5,beta_13_30Hz,6,6598900000,6658900000,5.5,25.5447244789279,2,4.697643151289
ANM00190422,5,beta_13_30Hz,7,6658900000,6718900000,6.5,25.1483443189445,2,4.77168590019673
ANM00190422,5,beta_13_30Hz,8,6718900000,6778900000,7.5,43.7052211181657,3,4.11850107137851
ANM00190422,5,beta_13_30Hz,9,6778900000,6838900000,8.5,45.8249932780767,0,0
ANM00190422,5,beta_13_30Hz,10,6838900000,6898900000,9.5,46.4291942380514,2,2.58458071412433
ANM00190422,5,beta_13_30Hz,11,6898900000,6958900000,10.5,33.7784831985823,0,0
ANM00190422,5,beta_13_30Hz,12,6958900000,7018900000,11.5,17.9394969592471,0,0
ANM00190422,5,beta_13_30Hz,13,7018900000,7078900000,12.5,8.31181823965115,0,0
ANM00190422,5,beta_13_30Hz,14,7078900000,7138900000,13.5,15.4071244793534,0,0
ANM00190422,5,beta_13_30Hz,15,7138900000,7198900000,14.5,38.6830540783765,4,6.20426710656639
ANM00190422,5,beta_13_30Hz,16,7198900000,7258900000,15.5,46.2507724780589,6,7.78365377942136
ANM00190422,5,beta_13_30Hz,17,7258900000,7318900000,16.5,57.1061145576033,3,3.15202673819514
ANM00190422,5,beta_13_30Hz,18,7318900000,7378900000,17.5,50.6048716778761,3,3.55696979424797
ANM00190422,5,beta_13_30Hz,19,7378900000,7438900000,18.5,51.8517964778238,0,0
ANM00190422,5,beta_13_30Hz,20,7438900000,7498900000,19.5,45.6820531180827,2,2.6268521620474
ANM00190422,5,beta_13_30Hz,21,7498900000,7558900000,20.5,38.6668339183772,3,4.65515227804704
