animal,resSaveIndex,band,nSubepochsIncluded,novelSeconds,familiarSeconds,novelBurstCount,familiarBurstCount,novelBurstRatePerMinute,familiarBurstRatePerMinute,novelMinusFamiliarRate,novelOverFamiliarRateRatio
ANM00190422,5,beta2_23_30Hz,3,899.403566487252,509.979006128379,357,122,23.8157828122239,14.3535320317819,9.46225078044199,1.65922803944635
ANM00190422,5,beta_13_30Hz,3,899.403566487252,509.979006128379,49,23,3.26883293501113,2.70599374369659,0.562839191314533,1.20799722564977
ANM204878,6,beta2_23_30Hz,3,945.827759846182,707.560711020523,368,218,23.3446309543619,18.4860462095678,4.85858474479419,1.26282444010551
ANM204878,6,beta_13_30Hz,3,945.827759846182,707.560711020523,50,36,3.17182485792961,3.05274157589192,0.11908328203769,1.03900863505058
ANM212379,7,beta2_23_30Hz,3,1004.45458429685,882.167643975066,345,346,20.6081990401692,23.5329420000659,-2.92474295989668,0.875717070993992
ANM212379,7,beta_13_30Hz,3,1004.45458429685,882.167643975066,44,65,2.62829205149984,4.420928410417,-1.79263635891716,0.594511335064104
ANM228899,8,beta2_23_30Hz,3,1641.8754309201,853.469591275965,570,295,20.8298384615175,20.7388759727666,0.090962488750904,1.00438608576812
ANM228899,8,beta_13_30Hz,3,1641.8754309201,853.469591275965,145,89,5.29881855600005,6.25681342907194,-0.957994873071889,0.846887735437241
ANM228900,9,beta2_23_30Hz,3,1233.68137797872,640.163653321258,402,188,19.5512394290319,17.6204942931043,1.9307451359276,1.10957383509288
ANM228900,9,beta_13_30Hz,3,1233.68137797872,640.163653321258,87,39,4.23123838389495,3.65531530548439,0.575923078410559,1.1575577016698
