repository_path,source_archive,script_type,role,archive_sha256,repository_sha256,portability_modified
analysis/01_primary_beta/hc31_batch11A_event_trace_QC_PLAIN_SCRIPT.m,b4.zip,main,"Primary beta/beta2 detection, timecourse, spatial/novelty or trace QC",a42cb031e11b50bc2b20e765740937ceeea52f03d7cc167f551db42fb7b22d37,0408a9f4a7cd0bd37cb90a6bb096b95d00421b1cab6f57037e8e4939feaf4d4e,yes
analysis/01_primary_beta/hc31_batch2_burst_frequency_heatmaps.m,b4.zip,main,"Primary beta/beta2 detection, timecourse, spatial/novelty or trace QC",5d4186c224bb3f58419f8a242f642cb8bb1c03ae51ca1089dc67c4f68e8d98fd,6a91e7e3d8af5fbe508a06bb64ce681ad25208172d8314a6e10393b07706ee51,yes
analysis/01_primary_beta/hc31_batch4_novelty_statistics.m,b4.zip,main,"Primary beta/beta2 detection, timecourse, spatial/novelty or trace QC",e000169839ef2636481010643ab8fb894e66be47249ef6b51a0d0007a9326d5e,e000169839ef2636481010643ab8fb894e66be47249ef6b51a0d0007a9326d5e,no
analysis/01_primary_beta/hc31_entry_novelty_sensitivity_PLAIN_SCRIPT.m,b4.zip,main,"Primary beta/beta2 detection, timecourse, spatial/novelty or trace QC",2620c71b6dfcbe7bdb73d4b09ecf06c8bdc9a3d9b403299e0f62b5a40f3152bc,38483dbdcf047bafae6405c16e744237d385f5cf4b42cdf19b204c77356d0945,yes
analysis/01_primary_beta/hc31_extract_beta_bursts_over_time_FUNC.m,b4.zip,main,"Primary beta/beta2 detection, timecourse, spatial/novelty or trace QC",7d9eae2470f4df1269d92fa75a70103582d3ee69a94cf34d01e03d8ff3925479,d861ad9646068102af024834229b8607cacd0c24ee12efbc6c9b9e6914e50bf4,yes
analysis/01_primary_beta/hc31_run1_beta_timecourse_plots_PLAIN_SCRIPT.m,b4.zip,main,"Primary beta/beta2 detection, timecourse, spatial/novelty or trace QC",7d2c50ed0c796cd405ce246b01ca2ee94b31a14bb28683c64e6280beea6c71c9,b0af52038aad8ee484c7164d6f55e278c43761bb3fdefa6d2c9af5552c7bcaf1,yes
analysis/01_primary_beta/nfbeta.m,b4.zip,main,"Primary beta/beta2 detection, timecourse, spatial/novelty or trace QC",8705c90ef71cf356006dcc249793520a157b120038d3d912f7939d2eb9ec42e9,b6836d122942d7d74622ea0364920f24d4b5b0786bd02fec9ac3adf0b0049bbb,yes
analysis/01_primary_beta/plotburstlocs.m,b4.zip,main,"Primary beta/beta2 detection, timecourse, spatial/novelty or trace QC",2fa7fef7955a1ec6eea66fef19caeedfb480e65d408a155d6ba7a7863670c8c3,c74c624dcdd750d3d6446773cc5a2a4ee14fcd3975e40cae11b3a4c1c98086a5,yes
analysis/01_primary_beta/speedcorr.m,b4.zip,main,"Primary beta/beta2 detection, timecourse, spatial/novelty or trace QC",256624c4d19a926e905fa04ba9ffe4196b252d1afee72f0be0b4e16e97b71d38,e363b85b2bd6a5fe63995ea4264d8659102446d8c43e87c353ece1e87fab558c,yes
analysis/02_final_temporal_spatial_stats/add_sig_bar.m,b3.zip,helper,Final animal-level temporal/spatial summary runner or helper,f4f0745fab743d86e393b81a76effbd8666297a8863a0be316f71616997d5baf,f4f0745fab743d86e393b81a76effbd8666297a8863a0be316f71616997d5baf,no
analysis/02_final_temporal_spatial_stats/compute_over_time_animal_summary.m,b3.zip,helper,Final animal-level temporal/spatial summary runner or helper,01172e9e5f36dab79ba717a4ee4e927cda82d5edee893f7ec5da2e7f74277201,01172e9e5f36dab79ba717a4ee4e927cda82d5edee893f7ec5da2e7f74277201,no
